File; Upper Left X; Upper Left Y; Lower Right X; Lower Right Y
Yotsubato_v01_009.jpg;216;69;342;265
Yotsubato_v01_009.jpg;405;61;511;283
Yotsubato_v01_009.jpg;564;66;691;271
Yotsubato_v01_009.jpg;61;381;181;609
Yotsubato_v01_009.jpg;660;699;858;1141
Yotsubato_v01_010.jpg;240;454;331;620
Yotsubato_v01_010.jpg;469;452;552;580
Yotsubato_v01_010.jpg;676;902;792;1150
Yotsubato_v01_010.jpg;791;861;960;1160
Yotsubato_v01_012.jpg;172;906;284;1039
Yotsubato_v01_012.jpg;542;521;675;738
Yotsubato_v01_020.jpg;371;402;529;680
Yotsubato_v01_020.jpg;384;87;501;282
Yotsubato_v01_020.jpg;753;405;851;566
Yotsubato_v01_020.jpg;809;1177;905;1286
Yotsubato_v01_022.jpg;148;945;285;1185
Yotsubato_v01_022.jpg;214;510;321;642
Yotsubato_v01_022.jpg;289;31;423;271
Yotsubato_v01_022.jpg;777;948;883;1159
Yotsubato_v01_022.jpg;786;492;960;825
Yotsubato_v01_023.jpg;143;66;244;182
Yotsubato_v01_023.jpg;22;51;180;463
Yotsubato_v01_023.jpg;309;69;428;289
Yotsubato_v01_023.jpg;368;1001;493;1218
Yotsubato_v01_023.jpg;442;694;507;817
Yotsubato_v01_023.jpg;540;90;622;234
Yotsubato_v01_023.jpg;581;695;725;869
Yotsubato_v01_023.jpg;67;1002;168;1180
Yotsubato_v01_023.jpg;744;692;869;846
Yotsubato_v01_032.jpg;439;976;526;1153
Yotsubato_v01_032.jpg;501;520;573;659
Yotsubato_v01_032.jpg;620;865;709;1035
Yotsubato_v01_032.jpg;673;436;744;558
Yotsubato_v01_032.jpg;815;433;909;645
Yotsubato_v01_037.jpg;0;977;133;1233
Yotsubato_v01_037.jpg;13;378;108;559
Yotsubato_v01_037.jpg;199;57;287;147
Yotsubato_v01_037.jpg;205;365;301;554
Yotsubato_v01_037.jpg;364;975;456;1197
Yotsubato_v01_037.jpg;474;579;580;760
Yotsubato_v01_037.jpg;670;804;780;964
Yotsubato_v01_037.jpg;729;363;868;573
Yotsubato_v01_037.jpg;787;795;878;939
Yotsubato_v01_040.jpg;218;36;347;354
Yotsubato_v01_040.jpg;256;525;366;731
Yotsubato_v01_040.jpg;489;37;619;339
